Geneid	CaBR1	CaBR2	CaOLBR1	CaOLBR2	CaMeOH1	CaMeOH2	o2_12_19_br1_1	o2_12_19_br1_2	o2_12_19_br1	o2_12_19_br3_1	o2_12_19_br3_2	o2_12_19_br3	o2_12_19_mc2	o2_12_19_mc2_1	o2_12_19_mc2_2	o2_12_19_mc3_2	o2_12_19_mc3_1	o2_12_19_mc3	no_o2_12_21_br3_2	no_o2_12_21_br3_1	no_o2_12_21_br3	no_o2_12_21_mc11_2	no_o2_12_21_mc11_1	no_o2_12_21_mc11	no_o2_12_21_mc12_2	no_o2_12_21_mc12_1	no_o2_12_21_mc12	no_o2_12_22_br3	no_o2_12_22_br3_1	lowO2_br1	LaBR1	LaBR2	LaOLBR1	LaOLBR2	LaMeOH1	LaMeOH2	br_1	br_2	br_3	br_4	dup_exp_1	dup_exp_2	dup_exp_3	dup_exp_4
MEALZ_RS01340	33	69	39	69	167	161	2	11	91	0	13	82	7	0	113	18	1	105	13	2	39	2	1	20	3	0	16	71	27	9	31	61	50	75	94	73	18	18	18	15	11	13	13	27
MEALZ_RS01345	368	1115	809	1080	1684	1689	19	244	1127	12	157	1368	94	9	1444	113	7	1392	130	9	420	33	1	149	18	1	155	541	210	97	409	781	962	1126	1141	1011	241	188	139	162	244	157	130	210
MEALZ_RS01350	259	833	731	888	1118	1087	25	178	1074	20	165	1441	47	3	1030	49	6	980	117	10	355	15	0	176	13	0	182	475	137	95	299	500	761	889	841	780	521	494	467	429	178	165	117	137
MEALZ_RS21130	58	134	83	136	119	135	3	31	64	2	20	48	17	3	49	5	2	21	20	2	21	2	0	22	2	0	14	40	37	6	108	162	92	132	119	137	46	46	42	30	31	20	20	37
MEALZ_RS01360	600	1767	1268	1618	1862	1789	18	315	1549	23	284	2501	78	6	1266	56	3	776	182	22	612	40	3	273	24	1	230	534	207	59	769	1486	1583	1811	2145	2824	602	448	412	489	315	284	182	207
MEALZ_RS01365	587	1757	1302	1770	2225	2081	19	228	1244	11	217	2134	100	10	1640	86	3	1206	244	16	851	37	5	262	18	2	240	634	217	94	611	1113	1614	1981	2157	1781	465	372	280	377	228	217	244	217
MEALZ_RS01370	178	591	459	553	1147	1434	3	84	514	9	89	979	33	1	749	28	2	420	153	16	584	17	2	89	8	0	85	578	189	143	221	455	488	694	1316	1422	239	232	213	183	84	89	153	189
MEALZ_RS01375	137	452	299	404	957	1234	3	81	526	9	70	880	28	3	700	31	0	400	152	12	516	11	0	60	4	1	46	575	212	117	163	277	316	462	850	803	148	181	166	148	81	70	152	212
MEALZ_RS01380	397	1258	925	1091	4350	5209	12	178	928	13	143	1538	119	13	2129	113	9	1377	485	66	1801	26	2	149	20	2	146	1533	581	280	486	950	912	1276	3281	2149	689	605	458	568	178	143	485	581
MEALZ_RS01385	195	661	483	645	1450	1762	13	174	1000	21	139	1904	99	7	2117	76	3	1464	276	27	1349	28	4	146	18	1	139	1162	339	187	200	391	536	646	1220	1191	425	325	352	402	174	139	276	339
MEALZ_RS01390	179	561	388	462	516	491	7	63	285	1	44	408	25	0	308	13	2	175	58	7	205	13	0	86	10	1	89	110	52	30	249	495	436	456	560	620	151	90	83	143	63	44	58	52
MEALZ_RS01395	381	1125	880	1017	874	842	12	105	665	11	95	930	53	9	1068	58	4	719	104	8	395	33	3	221	23	2	178	304	113	63	515	967	1016	996	916	808	240	192	191	223	105	95	104	113
MEALZ_RS01400	609	1816	1207	1688	2872	2862	9	214	766	14	164	1132	39	1	397	22	1	188	335	29	782	17	2	72	12	1	64	614	323	214	607	1331	1442	1787	1964	1894	751	530	497	642	214	164	335	323
MEALZ_RS22515	165	334	285	349	262	213	6	59	254	3	36	407	15	0	204	9	0	191	24	2	110	3	0	13	3	0	19	49	27	23	157	368	465	397	327	435	89	66	59	84	59	36	24	27
MEALZ_RS01405	448	1434	1234	1398	1353	1318	21	187	1129	12	175	2030	40	5	933	43	2	580	134	17	492	22	1	226	29	2	193	409	136	79	564	890	1370	1450	1589	1435	321	267	246	254	187	175	134	136
MEALZ_RS01410	737	2541	2368	2663	3317	3073	31	415	2888	24	397	5409	151	8	3941	163	12	2538	486	54	2137	167	12	1016	115	10	995	1442	412	197	721	1360	2399	2761	3384	2128	799	541	500	661	415	397	486	412
MEALZ_RS01420	97	269	188	243	175	184	1	58	259	3	44	400	23	2	272	15	0	127	20	2	81	8	1	35	7	1	44	48	31	12	145	290	247	198	278	370	57	39	38	54	58	44	20	31
MEALZ_RS01425	76	248	182	237	192	148	2	44	220	2	21	306	16	6	226	9	1	148	18	4	71	7	0	48	4	1	48	53	29	14	165	253	279	252	255	317	74	43	42	52	44	24	18	27
MEALZ_RS01430	181	673	615	668	359	383	12	111	825	9	91	1530	83	10	1637	78	7	1917	67	4	347	58	4	452	24	5	437	282	73	50	158	363	680	689	795	1022	214	172	174	222	111	91	67	73
MEALZ_RS01435	162	445	290	515	264	208	16	168	768	11	116	1570	76	11	1399	111	8	1820	57	3	320	66	3	433	43	7	343	301	89	56	177	398	502	466	351	570	188	139	155	170	168	116	57	89
MEALZ_RS22520	103	352	277	336	151	158	2	36	180	4	27	375	18	1	202	13	3	164	21	3	70	15	0	73	16	1	69	33	12	13	108	245	312	296	437	899	81	50	42	81	36	27	21	12
MEALZ_RS01440	556	1269	899	1267	965	839	18	200	716	14	137	1215	52	6	539	26	4	380	113	15	392	24	1	106	12	0	116	217	92	77	755	1513	1300	1220	1579	2317	344	212	238	260	200	137	113	92
MEALZ_RS20535	267	567	448	643	370	381	9	68	301	4	44	366	22	1	229	12	3	124	48	3	160	14	2	67	4	2	51	102	49	24	364	816	667	612	583	737	146	107	90	108	68	44	48	49
MEALZ_RS01450	119	381	335	454	377	410	3	41	315	1	33	500	11	0	281	9	0	168	32	6	124	6	0	33	1	1	31	102	41	24	109	253	460	405	589	694	73	64	47	61	41	33	32	41
MEALZ_RS01455	475	1125	821	1128	1089	1112	5	140	527	9	93	811	42	3	519	33	3	313	66	6	264	18	1	59	10	0	66	202	103	38	441	897	1090	1069	1241	1203	206	175	157	222	140	93	66	103
MEALZ_RS01460	390	995	889	1022	1065	1075	6	139	540	4	101	877	44	11	545	24	2	386	92	6	277	16	1	80	11	1	88	223	124	58	336	689	990	1037	1056	834	239	179	193	225	139	101	92	124
MEALZ_RS01465	719	1435	923	1356	1202	1083	15	155	651	7	112	1023	68	10	578	39	2	489	92	7	310	47	1	144	26	2	169	273	105	72	760	1506	1483	1345	1185	1177	301	261	256	317	155	112	92	105
MEALZ_RS01470	425	978	901	1132	1469	1453	6	107	559	6	82	916	19	1	197	12	1	129	22	3	72	5	0	62	6	2	50	77	24	25	382	678	1123	936	1087	740	132	107	125	124	107	82	22	24
MEALZ_RS01475	109	308	349	451	551	510	3	54	216	0	41	354	8	0	97	4	0	67	8	0	40	3	0	24	1	0	29	22	10	13	102	201	394	321	452	254	51	68	58	34	54	41	8	10
MEALZ_RS21320	2105	6220	5790	7156	9714	9283	65	719	3648	44	563	6576	82	7	1451	115	8	1776	158	14	602	124	8	674	92	9	646	531	178	304	1636	3293	6439	6124	6781	3772	862	1124	951	662	719	563	158	178
MEALZ_RS01485	882	2883	2257	2798	3208	3093	62	689	3676	69	675	6590	137	19	2244	106	9	1262	304	34	1096	50	1	309	30	2	263	738	320	181	836	1653	2598	2522	3064	3349	1047	1093	950	888	689	675	304	320
MEALZ_RS01490	160	421	370	425	565	520	3	67	400	4	58	437	25	1	385	15	1	185	66	7	217	9	1	62	5	0	52	202	56	43	264	479	364	450	488	559	162	140	159	133	67	58	66	56
MEALZ_RS01495	966	1825	1564	2396	732	609	45	510	2144	41	386	4185	326	31	4327	262	9	3660	253	18	874	288	21	1232	205	23	1492	629	256	250	726	1444	2388	1925	1371	2931	1841	1247	1269	1523	510	386	253	256
MEALZ_RS01500	1068	3569	2732	3086	4587	4666	36	338	2110	25	299	3981	132	13	2613	71	4	1144	285	28	1219	29	2	157	15	4	159	887	244	191	853	1719	2664	3054	5418	4319	485	358	339	361	338	299	285	244
MEALZ_RS01505	781	1999	1200	1568	2235	2308	33	347	1692	20	239	3003	176	21	2389	91	3	1501	243	19	1162	11	2	72	12	0	98	853	311	211	672	1396	1519	1631	2395	3197	411	369	391	408	347	239	243	311
MEALZ_RS01510	457	1099	952	1359	688	681	16	277	1255	26	200	2202	77	12	1531	63	7	988	257	34	1144	18	0	102	9	0	127	544	193	109	317	738	1328	1207	1123	1588	381	293	280	439	277	200	257	193
MEALZ_RS01515	568	1139	1048	1301	2230	1920	12	80	398	8	63	750	185	19	2267	150	9	1766	482	39	1706	55	3	260	49	6	280	528	249	47	670	1486	1128	1169	4513	7617	755	371	362	451	80	63	482	249
MEALZ_RS01520	946	2918	2381	2968	9865	10668	20	234	1495	20	196	2794	449	37	9804	476	34	7716	969	115	4106	587	51	3416	424	38	3568	2913	881	456	1039	2089	2413	3142	8243	7436	1067	820	696	695	234	196	969	881
MEALZ_RS01525	1053	3115	2849	3444	4351	4266	24	263	1719	21	249	2779	164	13	3541	159	9	2028	700	68	2404	252	7	1142	177	14	1432	1821	556	272	1170	2114	2967	3537	4494	3684	950	642	585	752	263	249	700	556
MEALZ_RS01530	106	294	216	292	430	439	3	47	210	2	34	423	14	0	256	10	2	152	67	6	284	5	0	40	1	0	27	134	47	29	95	254	263	301	525	598	96	43	46	62	47	34	67	47
MEALZ_RS01535	77	322	294	346	344	306	4	37	258	1	30	399	13	0	256	5	1	196	41	2	209	3	0	34	3	1	39	133	35	28	105	203	325	353	586	780	93	46	51	79	37	30	41	35
MEALZ_RS01540	265	702	608	795	622	587	6	94	570	7	140	1196	28	4	538	22	3	313	108	8	307	40	4	191	23	2	230	203	74	76	260	436	660	680	834	1273	296	208	202	247	94	140	108	74
MEALZ_RS01545	875	2031	1314	1646	2338	2614	17	252	978	10	184	1524	89	7	1003	58	4	554	232	22	788	23	3	156	20	1	150	631	299	546	981	2055	1595	1692	2180	2979	633	499	469	516	252	184	232	299
MEALZ_RS21325	325	757	396	537	1104	1306	4	92	455	6	99	845	31	2	454	23	1	304	101	9	301	5	0	27	9	2	27	254	100	147	393	691	551	551	824	623	183	185	170	194	92	99	101	100
MEALZ_RS01550	639	1701	994	1389	2426	3322	27	202	1092	14	166	1882	167	16	2639	163	13	2206	287	20	1085	56	6	332	42	3	341	972	298	776	700	1487	1370	1466	1727	2299	664	468	483	577	202	166	287	298
MEALZ_RS01555	502	1090	770	1051	1930	1787	13	155	644	11	123	948	91	11	1184	95	7	872	130	18	444	47	2	195	35	1	166	381	166	102	569	1129	955	1128	1379	583	190	166	155	191	155	123	130	166
MEALZ_RS01560	115	265	197	283	178	159	4	31	90	2	26	52	41	2	122	36	1	83	49	4	44	28	0	44	28	2	62	58	49	22	291	565	263	293	170	263	122	81	74	111	31	26	49	49
MEALZ_RS23035	370	848	595	891	628	627	19	303	1175	20	184	1984	62	6	687	38	4	442	89	11	356	10	0	46	7	1	44	289	124	107	398	754	828	868	670	940	262	279	293	290	303	184	89	124
MEALZ_RS01570	257	775	592	734	798	762	12	106	592	5	104	945	39	4	643	15	2	261	68	6	268	30	1	160	20	1	177	166	71	32	322	670	617	626	940	1677	337	283	280	245	106	104	68	71
MEALZ_RS01575	245	619	467	585	1021	847	7	71	372	3	61	587	29	2	457	21	2	198	63	8	241	17	1	97	9	1	96	120	44	46	255	525	463	501	980	1105	250	276	229	274	71	61	63	44
MEALZ_RS01580	435	1135	777	1054	2216	1869	23	159	769	10	138	1408	67	8	885	44	1	407	148	13	591	33	3	160	30	2	207	306	122	65	398	785	887	886	1703	2061	663	532	490	578	159	138	148	122
MEALZ_RS01585	376	821	596	831	550	481	10	164	577	8	114	806	92	13	1359	65	3	732	119	17	314	38	5	115	45	5	160	185	113	53	430	762	864	760	834	1239	390	347	360	388	164	114	119	113
MEALZ_RS01590	176	347	287	434	328	313	7	81	350	5	49	560	75	4	1003	36	4	449	85	7	249	6	1	44	9	1	73	110	35	41	155	277	461	379	404	410	161	137	123	148	81	49	85	35
MEALZ_RS01595	1109	3206	2894	3591	3227	2952	67	799	4175	43	678	7895	198	17	3295	121	7	1978	383	46	1527	45	3	281	48	5	357	1357	458	344	849	1689	3482	3251	3299	3387	1422	1313	1080	1409	799	678	383	458
MEALZ_RS01600	156	589	537	638	459	412	15	169	668	18	142	857	28	6	357	22	0	150	64	12	171	8	0	42	6	0	54	179	75	54	114	240	601	542	683	931	267	314	284	167	169	142	64	75
MEALZ_RS01605	275	708	598	735	643	582	18	225	877	16	189	893	30	4	334	24	4	144	84	9	137	3	0	71	3	0	64	195	118	75	317	510	755	637	733	678	288	376	401	202	225	189	84	118
MEALZ_RS01610	589	1673	1257	1633	1206	1078	31	314	1296	26	254	1694	48	3	608	20	0	233	135	7	282	13	1	99	11	1	71	343	147	102	570	1014	1664	1550	1503	1263	433	429	438	317	314	254	135	147
MEALZ_RS01615	1890	4098	3002	4600	1609	1260	55	660	3305	44	489	3989	125	13	1491	56	5	579	426	43	1279	12	1	57	20	2	118	589	253	157	1716	3256	4582	3749	1779	1672	1993	1644	1554	2384	660	489	426	253
MEALZ_RS01620	3003	8596	7087	8130	4009	3305	118	1266	7775	89	988	11703	207	20	3490	86	2	1390	436	56	1932	27	5	120	43	1	275	1531	546	295	1990	4318	8287	6669	4275	3478	3027	2250	2168	3727	1266	988	436	546
MEALZ_RS01625	3418	7889	5381	7195	4222	2970	187	2133	8036	133	1392	8163	263	21	2020	89	8	788	268	33	508	11	1	45	32	1	115	1134	617	425	2102	4431	7085	5667	3804	3640	2224	1913	1886	2022	2133	1392	268	617
MEALZ_RS01630	6973	17516	12630	15299	10790	9205	290	3725	15381	216	2411	21133	417	34	4730	167	12	1612	350	33	1008	23	1	89	34	3	229	2173	1009	629	5200	10207	15529	12795	10910	9445	3617	3463	3309	3094	3725	2411	350	1009
MEALZ_RS01635	5743	16252	11441	13725	14040	12424	265	3032	14332	184	2006	20418	324	36	4395	123	3	1399	273	28	873	32	3	132	28	10	253	1920	837	512	4484	9140	14062	11851	12934	7087	2981	2993	2926	2081	3032	2006	273	837
MEALZ_RS01640	10807	34412	26725	31445	33630	29427	572	6673	35097	454	5069	49753	566	54	9317	235	20	3546	489	46	1575	66	8	341	76	8	485	3891	1297	843	6136	13316	30854	26023	30537	16794	5045	5201	5242	3975	6673	5069	489	1297
MEALZ_RS01645	5801	13818	9996	12016	11444	9847	224	2821	13754	192	2118	19895	243	22	3254	85	7	1196	115	10	494	28	1	144	26	3	158	1052	425	284	5253	8804	12693	10102	10983	10426	2078	1733	1694	1404	2821	2118	115	425
MEALZ_RS01650	9487	28654	22803	27926	21509	17582	485	6162	30700	387	4648	47879	550	61	9241	263	22	4751	470	48	1650	96	8	390	72	9	463	2055	795	602	5700	12029	27819	23368	20890	18456	5218	3810	3977	4010	6162	4648	470	795
MEALZ_RS01655	4714	12766	9888	11600	7914	6499	186	2139	9968	140	1671	14097	246	19	3608	266	16	2500	367	46	1040	463	36	1591	367	26	2216	803	364	210	2657	5847	11451	10325	9404	12198	2487	1784	1582	2154	2139	1671	367	364
MEALZ_RS01660	2156	5310	3924	5366	4797	3678	68	633	2871	51	523	4341	107	7	1410	65	9	807	458	36	1283	80	6	277	47	10	284	821	292	183	1911	3680	5153	4874	4507	5227	1843	1113	1129	1497	633	523	458	292
MEALZ_RS01665	2228	7499	5999	7020	9624	8487	56	728	3640	44	536	6426	119	7	1723	61	4	845	327	34	1344	38	2	208	24	2	256	1123	354	237	1831	4028	6213	6617	8176	6342	1358	800	804	1163	728	536	327	354
MEALZ_RS01670	699	2027	1420	1917	2108	1983	28	367	1512	22	234	2539	59	7	677	25	1	327	150	18	593	12	4	126	10	1	103	420	174	108	709	1504	2064	1831	2555	1994	368	236	226	349	367	234	150	174
MEALZ_RS01675	147	461	315	439	481	458	10	68	377	3	51	559	14	1	157	4	0	62	23	3	121	10	0	55	5	0	37	65	23	17	163	414	480	448	688	578	54	37	29	50	68	51	23	23
MEALZ_RS01680	56	148	83	125	123	109	2	29	147	0	36	213	0	1	42	1	0	20	4	0	19	2	0	19	0	1	15	16	4	2	75	150	156	118	150	154	14	11	14	15	29	36	4	4
MEALZ_RS23680	6	44	38	28	29	26	2	13	85	1	18	156	3	0	30	0	0	7	6	0	12	3	1	13	1	0	12	9	2	7	24	30	33	38	54	58	7	1	6	6	13	18	6	2
MEALZ_RS23310	71	218	192	244	152	117	3	49	242	5	51	494	14	0	100	3	0	42	15	1	46	7	0	45	7	1	28	42	5	6	132	248	233	246	287	331	29	21	19	22	49	51	15	5
MEALZ_RS23315	38	98	58	75	51	43	0	24	68	3	9	71	3	0	23	1	0	11	10	0	9	6	0	32	5	0	23	11	7	2	80	112	92	103	87	148	15	2	7	9	24	9	10	7
MEALZ_RS01690	65	179	85	133	102	82	2	33	146	2	24	168	8	0	105	8	0	87	12	1	56	6	2	52	5	0	38	47	9	7	259	489	153	168	127	191	25	20	24	26	37	25	12	10
MEALZ_RS01695	61	177	134	154	125	107	3	35	166	2	28	193	5	6	92	4	1	52	7	0	33	6	1	74	5	0	57	41	16	6	362	912	194	182	187	212	19	17	10	12	35	28	10	16
MEALZ_RS01700	151	363	265	358	321	283	5	61	236	3	46	478	21	3	204	12	1	128	32	2	126	12	3	99	5	3	67	63	21	18	266	435	389	327	438	662	74	58	43	67	61	46	32	21
MEALZ_RS01705	426	1296	944	1230	1440	1432	10	158	720	12	109	1202	87	7	1045	49	2	733	127	10	599	21	1	147	19	1	127	274	120	98	556	1134	1176	1147	1485	2199	332	292	238	344	158	109	127	120
MEALZ_RS01710	107	296	276	309	253	288	8	48	225	3	52	332	21	1	156	13	1	118	37	3	98	6	1	48	8	1	40	54	10	18	172	315	273	303	329	494	65	53	38	73	48	52	37	10
MEALZ_RS01715	126	320	247	272	418	452	5	112	435	5	73	699	36	2	321	22	2	242	43	4	146	34	2	179	11	4	127	78	34	19	203	391	292	272	343	362	87	56	49	81	112	73	43	34
MEALZ_RS01720	12	38	28	40	36	59	3	37	139	3	18	170	3	1	65	12	0	106	4	1	28	7	2	33	4	0	33	11	8	2	27	43	47	62	55	89	13	7	3	10	37	18	4	8
MEALZ_RS01725	34	65	41	71	85	105	6	50	194	2	26	320	8	1	96	11	2	139	9	2	49	7	2	62	5	0	57	24	8	5	47	84	65	56	63	114	18	12	18	9	50	26	9	8
MEALZ_RS01730	53	127	77	138	75	116	10	108	307	11	75	507	22	1	152	30	1	250	24	1	41	24	2	104	23	5	120	35	16	5	114	182	131	117	131	269	46	42	25	40	108	75	24	16
MEALZ_RS01735	344	830	569	846	261	381	48	572	2186	36	426	4609	75	5	945	120	5	1651	94	11	346	44	4	209	29	8	212	191	105	34	332	798	948	782	828	1949	172	125	111	209	572	426	94	105
MEALZ_RS01740	146	542	416	438	469	461	4	51	356	6	64	651	13	5	448	15	1	249	54	7	257	14	0	150	9	0	118	170	53	14	213	382	420	419	587	634	114	115	100	91	51	64	54	53
MEALZ_RS01745	19	82	51	68	72	71	0	18	56	0	10	89	6	0	40	3	0	29	10	1	31	7	0	33	0	0	35	19	4	2	45	100	60	68	83	103	16	9	18	10	18	10	10	4
MEALZ_RS01750	27	75	53	57	60	77	0	15	93	1	7	145	4	0	67	7	0	36	12	1	42	4	0	48	3	1	34	34	14	2	124	147	57	59	74	85	24	12	14	9	15	7	12	14
MEALZ_RS01755	101	283	195	231	179	294	1	39	242	4	27	383	9	4	231	10	1	129	44	2	137	18	0	114	6	1	106	87	30	8	171	224	223	242	245	256	60	62	43	46	39	27	44	30
MEALZ_RS01760	73	236	215	236	205	260	3	41	239	1	43	376	21	2	317	12	3	182	73	7	312	23	0	156	14	3	145	106	29	11	175	252	230	228	339	297	77	58	36	51	41	43	73	29
MEALZ_RS01765	44	169	120	163	126	129	3	46	188	2	26	362	9	1	161	10	0	120	32	3	135	17	0	81	10	0	60	81	13	4	71	108	130	152	214	145	84	50	46	48	46	26	32	13
MEALZ_RS01770	347	647	507	707	1146	1021	13	93	441	7	71	417	20	1	164	6	2	97	73	10	219	20	1	72	15	0	79	133	58	63	512	723	507	747	1036	676	480	556	612	434	93	71	73	58
MEALZ_RS01775	124	473	507	568	798	703	5	87	367	3	67	526	24	1	324	9	1	203	70	9	221	27	2	104	26	2	118	174	63	43	181	346	501	638	1007	810	334	332	303	257	87	67	70	63
MEALZ_RS01780	120	369	257	355	652	558	5	42	186	2	35	232	18	2	163	4	0	91	62	6	102	9	0	50	7	0	52	110	49	28	123	230	270	356	592	385	243	252	245	177	42	35	62	49
MEALZ_RS01785	273	777	580	818	1725	1609	6	79	491	4	77	724	45	1	525	30	1	280	146	7	372	22	2	110	12	0	89	301	103	68	389	672	607	790	1606	1744	425	502	459	295	79	77	146	103
MEALZ_RS01790	585	1476	722	960	14432	15288	18	205	1053	16	177	1693	46	4	683	31	5	318	325	39	1289	4	2	90	10	0	61	874	355	160	593	998	807	1296	12219	12398	192	226	179	128	205	177	325	355
MEALZ_RS01795	3660	7724	3383	4472	110427	121062	97	1262	5227	66	827	9115	294	29	3569	178	13	2385	2963	286	11611	33	4	159	20	6	151	9671	4321	1407	4452	7117	3766	7828	71051	64496	429	353	368	327	1262	827	2963	4321
MEALZ_RS01800	320	1032	716	954	2252	1801	22	178	1121	13	162	2250	53	5	1037	45	1	611	152	18	583	39	1	278	21	1	246	400	120	73	459	770	902	915	2346	2463	276	247	241	207	178	162	152	120
MEALZ_RS20875	580	1531	1062	1439	2311	2465	9	155	808	9	141	1412	99	12	1566	60	3	895	331	29	1081	14	0	87	8	1	78	831	322	194	517	1085	1287	1533	2423	2381	386	276	323	378	157	141	332	320
MEALZ_RS01810	193	592	366	486	919	927	3	55	358	8	46	470	29	6	497	21	6	263	68	8	239	3	1	46	10	0	47	192	86	48	210	420	394	444	921	795	119	112	91	115	55	46	68	86
MEALZ_RS01815	330	1001	716	923	954	873	18	245	1271	23	223	2127	73	9	1400	36	4	593	85	10	299	21	1	118	14	3	132	180	56	78	353	646	899	782	968	1457	511	541	434	559	245	223	85	56
MEALZ_RS01825	415	1002	755	1021	724	630	15	186	979	13	161	1720	62	7	869	39	3	480	160	19	591	15	0	67	5	2	65	340	125	103	459	869	1042	957	916	931	291	220	199	346	186	161	160	125
MEALZ_RS01835	222	483	363	541	498	389	10	86	425	2	75	729	28	0	414	12	2	211	68	5	277	16	4	79	7	0	84	191	62	27	260	597	520	495	513	605	98	76	79	81	86	75	68	62
MEALZ_RS01840	349	1022	914	1101	661	624	27	248	1448	24	193	2156	30	3	624	19	0	301	87	14	355	21	1	137	9	0	104	257	78	76	333	648	1081	991	885	855	353	444	387	276	248	193	87	78
MEALZ_RS01845	241	493	506	599	404	357	9	80	433	4	70	711	29	3	352	11	1	201	50	5	210	10	2	80	13	0	74	103	35	36	163	320	428	442	550	897	510	1106	1167	386	80	70	50	35
MEALZ_RS01850	378	925	640	902	1405	1238	20	156	724	9	115	1071	45	2	457	27	3	260	139	13	375	14	0	134	8	0	95	295	129	54	386	715	819	905	1014	833	266	235	191	277	156	115	139	129
MEALZ_RS01855	368	909	870	1039	612	561	19	125	656	6	110	1280	32	3	699	22	2	434	96	10	371	76	1	361	40	1	340	243	76	52	326	578	703	787	1144	2306	1068	2148	2192	828	125	110	96	76
MEALZ_RS01860	252	646	510	645	584	527	7	109	480	11	76	752	18	2	329	15	0	207	45	2	184	12	0	73	3	0	71	140	54	36	234	401	513	537	626	933	382	464	513	257	109	76	45	54
MEALZ_RS01865	305	556	422	513	587	467	7	115	360	3	68	431	26	1	204	17	5	100	72	3	123	6	0	43	8	2	26	115	84	40	224	452	437	423	624	623	370	535	487	274	115	68	72	84
MEALZ_RS01870	245	664	545	699	739	642	15	146	593	9	124	667	40	2	316	25	1	188	111	8	173	23	3	79	21	3	97	225	104	49	348	646	465	589	778	649	400	511	424	299	146	124	111	104
MEALZ_RS01875	967	2638	2028	2390	3434	2992	32	349	1477	29	244	2146	85	9	1043	73	5	542	187	26	583	46	5	191	21	5	199	516	244	152	904	1663	1895	2306	3393	2233	1003	1058	973	724	349	244	187	244
MEALZ_RS01880	601	1750	1648	2014	1663	1475	18	180	1010	15	165	1764	35	3	681	25	0	346	143	14	523	33	0	171	25	2	170	309	97	52	537	1157	1771	1943	1910	1554	452	445	436	307	180	165	143	97
MEALZ_RS01885	843	2166	1559	2000	1902	1661	35	324	1213	22	213	1757	102	10	1052	71	3	684	164	20	567	37	2	136	32	3	175	287	166	91	724	1628	1905	1837	2294	2889	484	426	434	428	324	213	164	166
MEALZ_RS01890	10720	28311	26772	34666	14866	19658	480	5547	28112	391	4572	62448	1664	162	24470	1565	93	23629	7138	731	32035	8909	617	40551	7776	784	53416	9000	3472	64	11159	28959	28761	34716	30160	124138	1105	888	915	1112	5547	4572	7138	3472
MEALZ_RS01895	1732	4636	3799	4677	6412	5733	69	843	3629	63	645	5756	116	14	1757	91	6	1133	290	27	1041	67	1	277	28	3	251	978	369	224	1513	3112	4164	4809	4505	4159	543	340	343	514	843	645	290	369
MEALZ_RS01900	847	2406	2138	2878	2041	1910	32	418	2451	38	378	4403	134	16	1918	72	1	1274	308	26	1198	38	3	216	26	5	275	846	349	189	703	1668	2745	2714	2389	2501	628	426	388	545	418	378	308	349
MEALZ_RS01905	1201	3835	3114	3862	4461	4158	51	686	3325	43	568	6002	135	13	2337	99	3	1301	270	16	911	53	3	298	33	2	227	872	317	205	1204	2344	3556	3787	4021	3660	529	539	456	499	686	568	270	317
MEALZ_RS01910	367	839	709	910	926	755	7	131	553	9	104	914	62	4	720	36	1	383	152	19	509	17	3	119	21	2	155	269	91	93	381	825	887	798	953	1418	611	409	362	484	131	104	152	91
MEALZ_RS01915	508	1282	916	1203	1000	965	14	164	733	13	131	977	49	4	550	21	1	288	123	15	358	21	1	115	6	5	114	250	112	119	479	1217	1153	1227	1221	1587	377	288	264	371	164	131	123	112
MEALZ_RS01920	252	655	540	685	688	614	10	118	582	8	98	1126	32	2	411	21	1	218	66	5	270	12	0	52	5	0	47	148	53	45	227	540	645	624	785	893	181	138	119	197	118	98	66	53
MEALZ_RS01925	1181	3352	2993	3458	1903	1831	87	910	3871	61	654	6062	163	18	2091	107	6	1145	302	27	972	41	2	173	26	4	213	763	376	291	1049	2178	3401	3104	2098	2722	1158	900	839	1175	910	654	302	376
MEALZ_RS01935	1064	3295	2580	3228	3448	3073	64	670	3053	44	421	5202	77	11	1375	48	4	621	156	15	664	13	0	72	6	0	68	482	200	199	942	1941	3107	3015	2604	2483	622	491	485	553	670	421	156	200
MEALZ_RS01940	2160	6200	4679	5803	5450	5079	108	1173	4759	66	819	7909	186	12	2255	69	6	1039	357	34	1204	27	4	126	18	4	148	975	427	318	1862	4226	5784	5323	5857	7429	1423	1208	1050	1378	1173	819	357	427
MEALZ_RS01945	235	710	671	812	453	375	11	122	454	8	80	443	18	3	195	12	2	73	63	5	121	14	0	65	5	1	55	119	50	40	227	557	732	658	549	625	157	152	154	146	122	80	63	50
MEALZ_RS01950	223	659	559	700	466	390	8	127	620	11	124	1061	29	3	272	9	0	125	58	6	175	17	2	78	3	1	57	136	69	36	228	451	678	584	550	693	189	152	134	132	124	124	59	69
MEALZ_RS01955	797	2091	1694	2286	2474	2138	36	265	1542	17	250	2377	67	5	881	35	5	378	174	21	593	27	1	151	14	4	146	501	204	144	699	1451	2072	1988	2200	1783	429	336	296	403	265	250	174	204
MEALZ_RS01960	756	1554	1090	1600	2017	1763	25	226	930	9	180	1405	62	6	666	43	1	359	233	27	691	24	3	118	20	0	94	446	221	155	719	1459	1609	1591	1556	989	494	351	312	544	226	180	233	221
MEALZ_RS01965	293	874	675	867	837	794	7	88	480	8	52	604	49	4	486	28	3	263	125	10	339	33	0	87	15	0	80	214	106	92	285	611	844	867	850	598	208	151	127	225	88	52	125	106
